Zone,population_milliers_hab,Taux_Croissance,Consommation_Volailles_moyenne_Par_Personne (kg/personne/ans),Ratio_Importation_Consommation,Ratio_Production_Consommation,Taux_Dependance_Import,PIB_personne_US$,indice_stabilite_politique
Croatie,4182.857,-0.35112895328663907,10.77,53.27488499528934,135.40699936302707,35.29,13434.533984,0.69
Cuba,11339.254,0.10476803995040918,23.72,115.99931528400069,10.781987638576988,91.5,8543.360968,0.65
Danemark,5732.274,0.4126284327234053,28.98,80.061978556439,104.14076909972894,79.64,57888.203513,0.87
Dominique,71.458,0.1554622441667819,35.19,159.07058113597407,0.0,100.0,7395.991648,1.2
Égypte,96442.591,2.0066354621973925,12.96,8.800732366250566,89.44744350425576,8.96,1917.049576,-1.42
El Salvador,6388.126,0.48243107241368044,20.43,12.2596519956274,104.2070419628329,10.67,3986.049014,-0.26
Équateur,16785.361,1.6696114456884237,19.31,0.0,104.89769791679062,0.0,6246.404252,-0.07
Espagne,46647.428,0.748916042990011,30.39,14.46090449651849,106.86961127914884,13.59,28190.806667,0.28
Estonie,1319.39,-0.310607364057236,21.26,74.86569255182684,71.30065957316842,70.0,20435.205904,0.65
Eswatini,1124.805,0.6819836849039529,6.46,27.524550763893675,82.57365229168101,25.0,3822.79341,-0.27
États-Unis d'Amérique,325084.756,0.8333034506011971,55.68,0.6795310094878553,121.06701253590944,0.67,59059.596403,0.29
Éthiopie,106399.924,2.8187143164712047,0.13,7.229617656783,101.21464719496198,6.67,709.761008,-1.68
Fédération de Russie,145530.082,-0.02551223654947421,30.98,5.012729293315896,98.56888928980462,4.96,10822.77025,-0.64
Fidji,877.459,0.4766691230468245,28.02,12.20186711359926,93.54764787092766,11.54,5825.224293,0.62
Finlande,5511.371,0.3478537133163595,18.76,15.474887551913366,124.76628088730153,12.03,46412.760009,1.08
France,64842.509,0.5372603115182617,22.9,34.076518953015274,117.85357345410421,28.83,40458.149878,0.28
Gabon,2064.823,3.076337898155268,29.33,125.49276842893964,6.60488254889156,95.0,6975.769483,-0.1
Gambie,2213.889,3.093132109416419,3.53,204.7337469802108,25.59171837252635,88.89,632.019869,-0.08
Géorgie,4008.716,-0.47632830984444263,15.27,83.31550855205172,35.94002329696349,75.0,4306.234809,-0.37
Ghana,29121.465,2.4426607227127306,7.24,71.61849031688557,28.45767827161016,71.56,1998.626958,0.09
Grèce,10569.45,-0.28758497081607937,15.32,48.78832828052996,151.9231488229161,26.69,18690.624484,-0.07
Grenade,110.874,0.44825520774627314,45.7,138.150392806959,19.73577040099414,87.5,9309.267842,1.01
Guatemala,16914.97,2.203467098312606,20.58,37.057243225048715,67.5073810688872,36.13,4322.031108,-0.65
Guinée,12067.519,2.302550555026861,4.08,75.14906295967208,26.403724823668572,74.0,843.464278,-0.7
Guinée-Bissau,1828.145,2.5020767517627496,2.16,101.29677087166782,75.97257815375087,57.14,718.245738,-0.5
Guyana,775.222,0.2354721445160468,38.34,0.0,104.29980494711792,0.0,6220.978568,-0.04
Haïti,10982.366,1.5295354971368802,8.91,90.95286621701845,9.197480853406361,90.82,1402.614322,-0.67
Honduras,9429.013,2.1180214324946434,21.73,5.8567311065719565,94.19575863069896,5.88,2403.306094,-0.56
Hongrie,9729.823,-0.2856884236283941,25.27,23.58944981315962,200.51032341185677,17.01,14619.783288,0.81
Indonésie,264650.963,1.316741202541838,7.19,0.05255301429394932,120.92448589037738,0.04,3839.785075,-0.5
Iran (République islamique d'),80673.883,1.2316740927851066,27.52,0.2702525869666562,97.92152067758511,0.28,5960.707147,-0.93
Iraq,37552.781,2.7712281397402894,14.95,83.71717420955058,17.09967813641884,83.04,4725.193371,-2.31
Irlande,4753.279,1.3532836251922253,25.82,80.66509509670229,89.62788344078032,85.34,70491.993292,1.0
Israël,8243.848,1.9256305814466357,67.39,0.0,113.2205377866853,0.0,42756.825063,-0.89
Italie,60673.701,0.3735230381488597,18.88,8.467773977405434,114.79508020915614,7.89,32694.406225,0.31
Jamaïque,2920.848,0.5589077148856925,51.1,20.769777145275974,85.75907982565563,19.62,5273.149061,0.31
Japon,127502.725,-0.014043809124397733,18.5,45.31964613602085,93.90366341560915,32.65,38928.952604,1.11
Jordanie,9785.843,3.766244567739885,28.07,23.299109234524433,76.45020217578329,24.24,4053.539531,-0.45
Kazakhstan,18080.019,1.145891670851218,18.27,52.67588227539763,51.767677408580425,51.33,9107.697679,0.03
Kenya,50221.142,2.6732504762393194,0.67,0.0,104.01755892000473,0.0,1675.973652,-1.13
Kirghizistan,6189.733,1.3858251745457961,3.1,130.28859450047776,36.48080646013378,78.12,1258.390778,-0.38
Kiribati,114.158,1.775298521538704,17.98,48.71962772124211,48.71962772124211,50.0,1563.46714,0.88
Koweït,4056.099,3.9920011502775132,46.25,73.02982896034248,29.851608918096197,72.49,29258.289476,-0.05
Lesotho,2091.534,0.2028671394307624,7.93,90.43845674413807,12.058460899218408,88.24,1061.916962,-0.19
Lettonie,1951.097,-1.171568066012918,20.89,105.4996829411895,80.96487295486635,76.79,15593.840393,0.46
Liban,6819.373,3.2714023448594975,10.74,17.749847462521444,87.38386443087481,17.81,8679.897422,-1.63
Libéria,4702.226,2.9641010375697663,10.67,95.66945930110205,29.896706031594395,76.19,576.029301,-0.33
Lituanie,2845.414,-1.2324397862040204,28.19,54.85448431418604,147.10975338804437,46.81,16443.298019,0.78
Macédoine du Nord,2081.996,0.1299824446745923,19.73,97.37624318630796,4.868812159315398,97.56,5353.775388,-0.25
Madagascar,25570.512,2.8751576707027215,2.87,0.0,110.37321628788443,0.0,503.498059,-0.3
Malaisie,31104.646,1.7200271223472452,39.21,5.575538350324376,141.35629582292978,3.89,9979.704757,0.12
Malawi,17670.196,2.7423092065745003,5.17,0.0,142.30214366755857,0.0,500.165554,-0.25
Mali,18512.43,3.1342706672749188,2.83,1.9087547688734756,91.62022890592682,2.04,795.682802,-1.91
Malte,437.933,0.6108284722315727,27.17,75.63889902536513,33.61728845571784,69.23,28122.28717,1.25
Maroc,35581.255,1.2531810274987842,20.96,0.40226172739653626,102.17447875872021,0.39,3336.528682,-0.37
Maurice,1264.499,0.37254096472891796,37.93,4.169929021930532,100.07829652633275,4.0,10591.698261,0.97
Mauritanie,4282.57,2.9040925065465073,5.14,109.02940758444359,22.714459913425745,82.76,1634.642174,-0.63
Mexique,124777.324,1.3630238411930007,32.52,23.95411115964382,80.06883452436499,23.08,9434.378179,-0.8
Mongolie,3113.786,1.5643735171621431,2.77,115.93951232515968,0.0,100.0,3708.248166,0.79
Monténégro,627.563,1.3450864819079815,15.98,79.7729920705626,39.8864960352813,66.67,7679.191234,-0.06
Mozambique,28649.018,2.8739485538363363,3.59,23.3349595745384,89.45067836906387,20.69,462.69997,-0.93
Myanmar,53382.523,0.7774621390872705,30.37,0.18504500519704573,102.51493287916334,0.18,1304.481669,-1.08
Namibie,2402.633,1.7406893311293414,11.53,104.68422755581778,39.70781045220674,103.57,5450.334513,0.63
Népal,27632.681,0.8929631899138757,1.99,0.0,105.47557308397285,0.0,1044.692515,-0.61
Nicaragua,6384.846,1.360715533359702,21.59,4.3525942233503745,103.7368289898506,4.03,2127.277953,-0.05
Niger,21602.382,3.869541700167556,0.94,14.77378449146084,93.56730177925199,13.64,514.543477,-1.27
Nigéria,190873.244,2.6519439018513946,1.01,0.0,104.2628588583631,0.0,1941.873934,-2.0
Nouvelle-Calédonie,277.15,1.419020438930052,38.71,83.88889140037732,9.320987933375257,90.0,32263.340715,-0.07153846153846152
Nouvelle-Zélande,4702.034,1.1526459246292253,34.79,0.6113076154482586,136.32159824496165,0.5,43534.089383,1.6
Oman,4665.928,4.288583846072447,21.63,124.8463910811869,6.935910615621493,107.69,17802.548365,0.75
Ouganda,41166.588,3.3407477125206864,1.52,0.0,103.87831484780045,0.0,787.332281,-0.57
Pakistan,207906.209,2.243796207479698,5.86,0.16415908402603072,105.14389331867268,0.16,1558.080077,-2.41
Panama,4106.769,1.7987135502395946,33.82,14.399788631608185,142.55790745292103,9.17,15185.978635,0.39
Paraguay,6867.061,1.4974300842938826,5.99,2.4310969158465388,109.39936121309427,2.38,6136.058354,0.0
Philippines,105172.925,1.753883021565672,13.87,17.069426646437105,87.19803491673895,16.39,3077.434432,-1.19
Pologne,37953.18,-0.09222990865299652,30.3,4.782686241711011,204.43809735022884,3.98,13615.440435,0.52
Polynésie française,276.102,0.7974550403692326,47.4,114.615503039649,7.6410335359766,93.75,19743.958993,-0.07153846153846152
Portugal,10288.527,-0.022118383057845303,30.58,26.062925924185297,114.74044217842551,20.55,21475.355853,1.12
République centrafricaine,4596.023,1.3888903424454702,2.29,38.005138155959926,66.50899177292987,36.36,414.740323,-2.01
République de Corée,51096.415,0.42870846408262775,16.7,16.055124051993193,98.20579529613354,14.14,31524.94267,0.39
République de Moldova,4059.684,-0.20268551663743528,16.14,24.41879462512588,82.41343185979984,22.86,3040.315517,-0.32
République dominicaine,10513.104,1.2675480425278662,35.26,11.330159450512285,91.4505727077063,11.2,7513.497951,0.16
République populaire démocratique de Corée,25429.825,0.603011178677737,1.62,0.0,104.37826401299736,0.0,680.534037,-0.5
République-Unie de Tanzanie,54660.339,2.9276609963719613,1.88,1.9462553776588225,102.17840732708818,1.87,972.626009,-0.56
Roumanie,19653.969,-0.7005423993854842,19.37,38.35067112367522,102.96892520877184,31.13,10667.990723,0.06
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,66727.461,0.7280168184357061,31.94,36.55088910923284,85.11336693728931,34.87,40617.67907,0.39
Rwanda,11980.961,2.46683677005628,1.49,0.0,106.43284668357566,0.0,756.546025,0.09
Sainte-Lucie,180.954,0.8305322278289617,56.69,97.48220751336589,9.74822075133659,90.91,11270.8092,0.99
Saint-Kitts-et-Nevis,52.045,0.970336916092962,55.77,137.80987346762527,0.0,100.0,22160.60363,0.65
Samoa,195.352,0.6527406231143562,64.77,134.35602993624323,0.0,100.0,4246.467778,1.18
Sao Tomé-et-Principe,207.089,2.2148402110598653,9.47,101.98187340528075,50.990936702640376,66.67,1819.871902,0.19
Sénégal,15419.355,2.709907125958755,4.76,0.0,104.91016380539455,0.0,1385.199669,-0.05
Serbie,8829.628,1.3450864819079815,10.16,13.376581235412457,94.75078375083825,13.33,5918.256598,0.09
Sierra Leone,7488.423,2.8854492355929295,3.97,47.09200271833473,57.18314615797788,45.16,487.010035,-0.04
Slovaquie,5447.9,0.055102128708872655,13.9,83.1948842805379,93.75931403044748,63.64,17584.598912,0.91
Slovénie,2076.394,0.24664090846768794,24.41,39.459579326783405,142.05448557642026,31.75,23155.397106,0.87
Soudan,40813.397,1.3450864819079815,1.6,3.062719822121153,102.60111404105862,2.9,3000.817257,-1.98
Sri Lanka,21128.032,0.6839521426003969,7.78,0.0,116.80530983233342,0.0,4065.135897,-0.07
Suède,9904.896,0.6451758993932577,16.6,51.088279612985545,95.48642737188965,38.53,53788.877499,0.98
Suriname,570.496,1.1248375400370936,31.06,101.58239547650072,56.434664153611514,78.26,5774.654844,0.13
Tadjikistan,8880.268,2.140275003236436,4.45,96.16067716308369,5.061088271741247,95.0,844.36525,-0.67
Tchad,15016.753,3.4841199230465802,0.45,14.79828710122769,88.78972260736614,14.29,884.869685,-1.29
Tchéquie,10641.034,0.19975042217414973,21.96,49.64114870641056,69.75437275124932,46.03,20759.909712,1.0
Thaïlande,69209.81,0.545449073160631,12.95,0.22314777983085698,186.99783949825814,0.23,6436.789649,-0.75
Togo,7698.474,2.6527892214212034,7.06,29.438158157595385,73.59539539398847,28.57,813.395007,-0.88
Trinité-et-Tobago,1384.059,0.5147544392878123,54.54,30.46899283559601,80.80906795527638,27.38,16094.666782,0.28
Tunisie,11433.443,0.9770440761201371,17.03,0.0,109.39259493624114,0.0,3569.718839,-1.02
Turkménistan,5757.667,1.4489501370089197,4.52,34.582591221025396,76.85020271338976,31.03,6738.439771,-0.13
Turquie,81116.45,1.477012741642758,20.64,0.17918540223259566,130.92480056461656,0.17,10464.007788,-1.79
Ukraine,44487.709,-0.5470621996475411,22.62,12.024104124347533,120.34041400483358,11.43,2510.017662,-1.87
Uruguay,3436.641,0.21290243547924526,9.12,9.571769888709722,105.28946877580694,9.09,18769.787523,1.05
Vanuatu,285.51,2.582080527168218,11.66,120.1545211172472,30.0386302793118,80.0,3032.145892,0.7
Venezuela (République bolivarienne du),29402.484,0.9901774464302404,20.28,4.1926444628181825,100.62346710763637,4.0,8112.053374,-1.27
Viet Nam,94600.648,0.9977291901558383,12.33,24.948003776897735,78.70195005907946,24.09,2992.071534,0.23
Zambie,16853.599,2.8758728528093913,3.42,20.819125516304037,85.01142919157482,20.0,1495.437665,0.15
Zimbabwe,14236.595,1.0888774356277775,4.68,9.005322424718004,103.56120788425704,8.0,1494.170144,-0.71
